ticker,cik,company_name,ipo_date,sector,industry,sec_sect,sec_ind,state_incorp
CPIX,1087294,CUMBERLAND PHARMACEUTICALS INC,2009,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,nan
CPK,19745,CHESAPEAKE UTILITIES CORP,n/a,Public Utilities,Oil & Gas Production, NATURAL GAS TRANSMISSION & DISTRIBUTION, NATURAL GAS TRANSMISSION & DISTRIBUTION,DE
CPLG,1707178,CorePoint Lodging Inc.,2018,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
CPRI,1530721,Capri Holdings Ltd,2011,Consumer Non-Durables,Apparel, LEATHER & LEATHER PRODUCTS, LEATHER & LEATHER PRODUCTS,nan
CPRT,900075,COPART INC,1994,Consumer Durables,Automotive Aftermarket, RETAIL,AUTO DEALERS & GASOLINE STATIONS,DE
CPRX,1369568,CATALYST PHARMACEUTICALS  INC.,2006,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CPS,1320461,Cooper-Standard Holdings Inc.,n/a,Capital Goods,Auto Parts:O.E.M., MOTOR VEHICLE PARTS & ACCESSORIES, MOTOR VEHICLE PARTS & ACCESSORIES,DE
CPSH,814676,CPS TECHNOLOGIES CORP/DE/,n/a,Capital Goods,Building Materials, POTTERY & RELATED PRODUCTS, POTTERY & RELATED PRODUCTS,DE
CPSI,1169445,COMPUTER PROGRAMS & SYSTEMS INC,2002,Technology,EDP Services, SERVICES,COMPUTER PROGRAMMING SERVICES,DE
CPSS,889609,CONSUMER PORTFOLIO SERVICES INC,1992,Finance,Finance: Consumer Services, FINANCE SERVICES, FINANCE SERVICES,CA
CPST,1009759,CAPSTONE TURBINE Corp,2000,Energy,Industrial Machinery/Components, ENGINES & TURBINES, ENGINES & TURBINES,DE
CPT,906345,CAMDEN PROPERTY TRUST,1993,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,TX
CR,25445,CRANE CO /DE/,n/a,Capital Goods,Metal Fabrications, MISCELLANEOUS FABRICATED METAL PRODUCTS, MISCELLANEOUS FABRICATED METAL PRODUCTS,DE
CRAI,1053706,CRA INTERNATIONAL  INC.,1998,Miscellaneous,Other Consumer Services, SERVICES,LEGAL SERVICES,MA
CRAY,949158,CRAY INC,n/a,Technology,Computer Manufacturing, ELECTRONIC COMPUTERS, ELECTRONIC COMPUTERS,WA
CRBP,1595097,Corbus Pharmaceuticals Holdings  Inc.,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CRC,1609253,California Resources Corp,2014,Energy,Oil & Gas Production, CRUDE PETROLEUM & NATURAL GAS, CRUDE PETROLEUM & NATURAL GAS,DE
CRCM,1412270,Care.com Inc,2014,Consumer Services,Other Consumer Services, SERVICES,PERSONAL SERVICES,MA
CREE,895419,CREE INC,1993,Technology,Semiconductors, SEMICONDUCTORS & RELATED DEVICES, SEMICONDUCTORS & RELATED DEVICES,NC
CREX,1356093,CREATIVE REALITIES  INC.,n/a,Technology,EDP Services, SERVICES,COMPUTER INTEGRATED SYSTEMS DESIGN,MN
CRI,1060822,CARTERS INC,2003,Consumer Non-Durables,Apparel, APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL, APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL,DE
CRIS,1108205,CURIS INC,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
CRK,23194,COMSTOCK RESOURCES INC,n/a,Energy,Oil & Gas Production, CRUDE PETROLEUM & NATURAL GAS, CRUDE PETROLEUM & NATURAL GAS,NV
CRL,1100682,CHARLES RIVER LABORATORIES INTERNATIONAL INC,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch, SERVICES,COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,nan
CRM,1108524,SALESFORCE COM INC,2004,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
CRMD,1410098,CorMedix Inc.,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CRMT,799850,AMERICAS CARMART INC,n/a,Consumer Durables,Automotive Aftermarket, RETAIL,AUTO DEALERS & GASOLINE STATIONS,TX
CRNX,1658247,Crinetics Pharmaceuticals  Inc.,2018,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CROX,1334036,Crocs  Inc.,2006,Consumer Non-Durables,Shoe Manufacturing, RUBBER & PLASTICS FOOTWEAR, RUBBER & PLASTICS FOOTWEAR,nan
CRR,1009672,CARBO CERAMICS INC,n/a,Capital Goods,Industrial Machinery/Components, ABRASIVE ASBESTOS & MISC NONMETALLIC MINERAL PRODUCTS, ABRASIVE ASBESTOS & MISC NONMETALLIC MINERAL PRODUCTS,DE
CRS,17843,CARPENTER TECHNOLOGY CORP,n/a,Basic Industries,Steel/Iron Ore, STEEL WORKS_ BLAST FURNACES  ROLLING MILLS (COKE OVENS), STEEL WORKS_ BLAST FURNACES  ROLLING MILLS (COKE OVENS),DE
CRUS,772406,CIRRUS LOGIC INC,1989,Technology,Semiconductors, SEMICONDUCTORS & RELATED DEVICES, SEMICONDUCTORS & RELATED DEVICES,DE
CRVL,874866,CORVEL CORP,n/a,Finance,Specialty Insurers, INSURANCE AGENTS BROKERS & SERVICES, INSURANCE AGENTS BROKERS & SERVICES,DE
CRVS,1626971,Corvus Pharmaceuticals  Inc.,2016,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CRWS,25895,CROWN CRAFTS INC,n/a,Basic Industries,Textiles, BROADWOVEN FABRIC MILLS_ COTTON, BROADWOVEN FABRIC MILLS_ COTTON,DE
CRY,784199,CRYOLIFE INC,n/a,Health Care,Medical/Dental Instruments, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,FL
CRZO,1040593,CARRIZO OIL & GAS INC,1997,Energy,Oil & Gas Production, CRUDE PETROLEUM & NATURAL GAS, CRUDE PETROLEUM & NATURAL GAS,TX
CSBR,771856,CHAMPIONS ONCOLOGY  INC.,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
CSCO,858877,CISCO SYSTEMS  INC.,1990,Technology,Computer Communications Equipment, COMPUTER COMMUNICATIONS EQUIPMENT, COMPUTER COMMUNICATIONS EQUIPMENT,CA
CSFL,1102266,CenterState Bank Corp,n/a,Finance,Major Banks, NATIONAL COMMERCIAL BANKS, NATIONAL COMMERCIAL BANKS,FL
CSGP,1057352,COSTAR GROUP INC,1998,Miscellaneous,Business Services, SERVICES,BUSINESS SERVICES_ NEC,DE
CSGS,1005757,CSG SYSTEMS INTERNATIONAL INC,1996,Technology,EDP Services, SERVICES,COMPUTER PROCESSING & DATA PREPARATION,DE
CSII,1180145,Cardiovascular Systems Inc,1981,Health Care,Medical/Dental Instruments, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,DE
CSL,790051,CARLISLE COMPANIES INC,n/a,Basic Industries,Specialty Chemicals, FABRICATED RUBBER PRODUCTS_ NEC, FABRICATED RUBBER PRODUCTS_ NEC,DE
CSLT,1433714,CASTLIGHT HEALTH  INC.,2014,Technology,EDP Services, SERVICES,COMPUTER PROCESSING & DATA PREPARATION,nan
CSOD,1401680,Cornerstone OnDemand Inc,2011,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
CSPI,356037,CSP INC /MA/,1982,Technology,EDP Services, SERVICES,COMPUTER INTEGRATED SYSTEMS DESIGN,MA
CSS,20629,CSS INDUSTRIES INC,n/a,Consumer Services,Consumer: Greeting Cards, GREETING CARDS, GREETING CARDS,DE
CSSE,1679063,Chicken Soup for the Soul Entertainment  Inc.,2017,Consumer Services,Movies/Entertainment, SERVICES,ALLIED TO MOTION PICTURE PRODUCTION,DE
CSTR,1676479,CapStar Financial Holdings  Inc.,2016,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,TN
CSU,1043000,CAPITAL SENIOR LIVING CORP,1997,Health Care,Hospital/Nursing Management, SERVICES,NURSING & PERSONAL CARE FACILITIES,DE
CSV,1016281,CARRIAGE SERVICES INC,n/a,Consumer Services,Other Consumer Services, SERVICES,PERSONAL SERVICES,DE
CSWI,1624794,CSW INDUSTRIALS  INC.,n/a,Basic Industries,Home Furnishings, ADHESIVES & SEALANTS, ADHESIVES & SEALANTS,DE
CSX,277948,CSX CORP,n/a,Transportation,Railroads, RAILROADS_ LINE,HAUL OPERATING,VA
CTAS,723254,CINTAS CORP,1983,Consumer Non-Durables,Apparel, MEN'S & BOYS' FURNISHINGS_ WORK CLOTHING_ AND ALLIED GARMENTS, MEN'S & BOYS' FURNISHINGS_ WORK CLOTHING_ AND ALLIED GARMENTS,WA
CTB,24491,COOPER TIRE & RUBBER CO,n/a,Consumer Durables,Automotive Aftermarket, TIRES AND INNER TUBES, TIRES AND INNER TUBES,DE
CTBI,350852,COMMUNITY TRUST BANCORP INC /KY/,n/a,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,KY
CTEK,1011432,CYNERGISTEK  INC,2017,Miscellaneous,Business Services, SERVICES,BUSINESS SERVICES_ NEC,NV
CTG,23111,COMPUTER TASK GROUP INC,n/a,Technology,EDP Services, SERVICES,COMPUTER PROGRAMMING SERVICES,NY
CTHR,1015155,CHARLES & COLVARD LTD,1997,Consumer Durables,Consumer Specialties, JEWELRY_ SILVERWARE & PLATED WARE, JEWELRY_ SILVERWARE & PLATED WARE,NC
CTIB,1042187,CTI INDUSTRIES CORP,1997,Basic Industries,Specialty Chemicals, FABRICATED RUBBER PRODUCTS_ NEC, FABRICATED RUBBER PRODUCTS_ NEC,IL
CTIC,891293,CTI BIOPHARMA CORP,1997,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CTL,18926,CENTURYLINK  INC,n/a,Public Utilities,Telecommunications Equipment, TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE), TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE),LA
CTLT,1596783,Catalent  Inc.,2014,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CTMX,1501989,CytomX Therapeutics  Inc.,2015,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,nan
CTO,23795,CONSOLIDATED TOMOKA LAND CO,n/a,Finance,Real Estate, REAL ESTATE, REAL ESTATE,FL
CTRA,1704715,Contura Energy  Inc.,2018,Energy,Coal Mining, BITUMINOUS COAL & LIGNITE SURFACE MINING, BITUMINOUS COAL & LIGNITE SURFACE MINING,DE
CTRC,844143,Centric Brands Inc.,n/a,Consumer Non-Durables,Apparel, APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL, APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL,DE
CTRE,1590717,CareTrust REIT  Inc.,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
CTRL,1259515,CONTROL4 CORP,2013,Capital Goods,Electrical Products, ELECTRONIC COMPONENTS & ACCESSORIES, ELECTRONIC COMPONENTS & ACCESSORIES,DE
CTRN,1318484,Citi Trends Inc,2005,Consumer Services,Clothing/Shoe/Accessory Stores, RETAIL,APPAREL & ACCESSORY STORES,DE
CTS,26058,CTS CORP,n/a,Technology,Electrical Products, PRINTED CIRCUIT BOARDS, PRINTED CIRCUIT BOARDS,IN
CTSH,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1998,Technology,EDP Services, SERVICES,COMPUTER PROGRAMMING SERVICES,nan
CTSO,1175151,Cytosorbents Corp,n/a,Health Care,Medical/Dental Instruments, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,DE
CTWS,276209,CONNECTICUT WATER SERVICE INC / CT,n/a,Public Utilities,Water Supply, WATER SUPPLY, WATER SUPPLY,CT
CTXS,877890,CITRIX SYSTEMS INC,1995,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
CUB,26076,CUBIC CORP /DE/,n/a,Capital Goods,Industrial Machinery/Components, MEASURING & CONTROLLING DEVICES_ NEC, MEASURING & CONTROLLING DEVICES_ NEC,DE
CUBE,1298675,CubeSmart,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
CUBI,1488813,Customers Bancorp  Inc.,n/a,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,PA
CUE,1645460,Cue Biopharma  Inc.,2018,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CUI,1108967,CUI Global  Inc.,n/a,Technology,Electronic Components, WHOLESALE,ELECTRONIC PARTS & EQUIPMENT_ NEC,OR
CULP,723603,CULP INC,n/a,Basic Industries,Textiles, BROADWOVEN FABRIC MILLS_ COTTON, BROADWOVEN FABRIC MILLS_ COTTON,NC
CUO,24104,CONTINENTAL MATERIALS CORP,n/a,Capital Goods,Building Materials, CONCRETE GYPSUM  PLASTER PRODUCTS, CONCRETE GYPSUM  PLASTER PRODUCTS,DE
CURO,1711291,CURO Group Holdings Corp.,2017,Finance,Finance: Consumer Services, FINANCE SERVICES, FINANCE SERVICES,DE
CUTR,1162461,CUTERA INC,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus, ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS, ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,DE
CUZ,25232,COUSINS PROPERTIES INC,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,GA
CVA,225648,COVANTA HOLDING CORP,n/a,Basic Industries,Electric Utilities: Central, COGENERATION SERVICES & SMALL POWER PRODUCERS, COGENERATION SERVICES & SMALL POWER PRODUCERS,DE
CVBF,354647,CVB FINANCIAL CORP,n/a,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,CA
CVCO,278166,CAVCO INDUSTRIES INC.,n/a,Basic Industries,Homebuilding, MOBILE HOMES, MOBILE HOMES,DE
CVCY,1127371,CENTRAL VALLEY COMMUNITY BANCORP,n/a,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,CA
CVET,1752836,COVETRUS  INC.,n/a,Health Care,Medical/Nursing Services, RETAIL,DRUG STORES AND PROPRIETARY STORES,DE
CVGI,1290900,Commercial Vehicle Group  Inc.,2004,Capital Goods,Auto Parts:O.E.M., MOTOR VEHICLE PARTS & ACCESSORIES, MOTOR VEHICLE PARTS & ACCESSORIES,DE
CVGW,1133470,CALAVO GROWERS INC,n/a,Consumer Non-Durables,Farming/Seeds/Milling, AGRICULTURE SERVICES, AGRICULTURE SERVICES,CA
CVI,1376139,CVR ENERGY INC,2007,Energy,Integrated oil Companies, PETROLEUM REFINING, PETROLEUM REFINING,DE
CVIA,1722287,Covia Holdings Corp,2018,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels), MINING_ QUARRYING OF NONMETALLIC MINERALS (NO FUELS), MINING_ QUARRYING OF NONMETALLIC MINERALS (NO FUELS),DE
CVLT,1169561,COMMVAULT SYSTEMS INC,2006,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
CVLY,806279,CODORUS VALLEY BANCORP INC,n/a,Finance,Savings Institutions, SAVINGS INSTITUTION_ FEDERALLY CHARTERED, SAVINGS INSTITUTION_ FEDERALLY CHARTERED,PA
CVM,725363,CEL SCI CORP,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),CO
CVNA,1690820,CARVANA CO.,2017,Consumer Durables,Automotive Aftermarket, RETAIL,AUTO DEALERS & GASOLINE STATIONS,DE
CVR,19871,CHICAGO RIVET & MACHINE CO,n/a,Technology,Industrial Machinery/Components, METALWORKING MACHINERY & EQUIPMENT, METALWORKING MACHINERY & EQUIPMENT,IL
CVS,64803,CVS HEALTH Corp,n/a,Health Care,Medical/Nursing Services, RETAIL,DRUG STORES AND PROPRIETARY STORES,DE
CVTI,928658,COVENANT TRANSPORTATION GROUP INC,1994,Transportation,Trucking Freight/Courier Services, TRUCKING (NO LOCAL), TRUCKING (NO LOCAL),NV
CVU,889348,CPI AEROSTRUCTURES INC,n/a,Capital Goods,Military/Government/Technical, AIRCRAFT PART & AUXILIARY EQUIPMENT_ NEC, AIRCRAFT PART & AUXILIARY EQUIPMENT_ NEC,NY
CVV,766792,CVD EQUIPMENT CORP,n/a,Technology,Industrial Machinery/Components, SPECIAL INDUSTRY MACHINERY_ NEC, SPECIAL INDUSTRY MACHINERY_ NEC,NY
CVX,93410,CHEVRON CORP,n/a,Energy,Integrated oil Companies, PETROLEUM REFINING, PETROLEUM REFINING,DE
CW,26324,CURTISS WRIGHT CORP,n/a,Technology,Industrial Machinery/Components, MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT, MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT,DE
CWEN,1567683,Clearway Energy  Inc.,2015,Public Utilities,Electric Utilities: Central, ELECTRIC SERVICES, ELECTRIC SERVICES,DE
CWH,1669779,Camping World Holdings  Inc.,2016,Consumer Durables,Automotive Aftermarket, RETAIL,AUTO DEALERS & GASOLINE STATIONS,DE
CWK,1628369,Cushman & Wakefield plc,2018,Finance,Real Estate, REAL ESTATE, REAL ESTATE,Y9
CWST,911177,CASELLA WASTE SYSTEMS INC,1997,Public Utilities,Environmental Services, REFUSE SYSTEMS, REFUSE SYSTEMS,DE
CWT,1035201,CALIFORNIA WATER SERVICE GROUP,n/a,Public Utilities,Water Supply, WATER SUPPLY, WATER SUPPLY,DE
CXO,1358071,CONCHO RESOURCES INC,2007,Energy,Oil & Gas Production, CRUDE PETROLEUM & NATURAL GAS, CRUDE PETROLEUM & NATURAL GAS,DE
CXP,1252849,COLUMBIA PROPERTY TRUST  INC.,2013,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
CXW,1070985,CoreCivic  Inc.,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
CY,791915,CYPRESS SEMICONDUCTOR CORP /DE/,1986,Technology,Semiconductors, SEMICONDUCTORS & RELATED DEVICES, SEMICONDUCTORS & RELATED DEVICES,DE
CYAN,768408,CYANOTECH CORP,n/a,Consumer Durables,Specialty Chemicals, MEDICINAL CHEMICALS & BOTANICAL PRODUCTS, MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,NV
CYBE,768411,CYBEROPTICS CORP,1987,Capital Goods,Electronic Components, OPTICAL INSTRUMENTS & LENSES, OPTICAL INSTRUMENTS & LENSES,MN
CYCC,1130166,Cyclacel Pharmaceuticals  Inc.,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
CYH,1108109,COMMUNITY HEALTH SYSTEMS INC,2000,Health Care,Hospital/Nursing Management, SERVICES,GENERAL MEDICAL & SURGICAL HOSPITALS_ NEC,DE
CYTK,1061983,CYTOKINETICS INC,2004,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,nan
CZNC,810958,CITIZENS & NORTHERN CORP,n/a,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,PA
CZR,858339,CAESARS ENTERTAINMENT Corp,2012,Consumer Services,Hotels/Resorts, HOTELS & MOTELS, HOTELS & MOTELS,DE
D,715957,DOMINION ENERGY INC /VA/,n/a,Public Utilities,Electric Utilities: Central, ELECTRIC SERVICES, ELECTRIC SERVICES,VA
DAIO,351998,DATA I/O CORP,1981,Capital Goods,Electrical Products, INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS, INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,WA
DAKT,915779,DAKTRONICS INC /SD/,1994,Consumer Durables,Miscellaneous manufacturing industries, MISCELLANEOUS MANUFACTURING INDUSTRIES, MISCELLANEOUS MANUFACTURING INDUSTRIES,SD
DAL,27904,DELTA AIR LINES INC /DE/,n/a,Transportation,Air Freight/Delivery Services, AIR TRANSPORTATION_ SCHEDULED, AIR TRANSPORTATION_ SCHEDULED,DE
DAN,26780,DANA INC,n/a,Capital Goods,Auto Parts:O.E.M., MOTOR VEHICLE PARTS & ACCESSORIES, MOTOR VEHICLE PARTS & ACCESSORIES,DE
DAR,916540,DARLING INGREDIENTS INC.,n/a,Consumer Non-Durables,Packaged Foods, FATS & OILS, FATS & OILS,DE
DATA,1303652,Tableau Software Inc,2013,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,nan
DAVE,1021270,FAMOUS DAVES OF AMERICA INC,n/a,Consumer Services,Restaurants, RETAIL,EATING PLACES,MN
DBD,28823,DIEBOLD NIXDORF  Inc,n/a,Miscellaneous,Office Equipment/Supplies/Services, CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS), CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),OH
DBX,1467623,DROPBOX  INC.,2018,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
DCI,29644,DONALDSON CO INC,n/a,Capital Goods,Pollution Control Equipment, INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFYING EQUIP, INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFYING EQUIP,DE
DCO,30305,DUCOMMUN INC /DE/,n/a,Capital Goods,Military/Government/Technical, AIRCRAFT PART & AUXILIARY EQUIPMENT_ NEC, AIRCRAFT PART & AUXILIARY EQUIPMENT_ NEC,DE
DCOM,1005409,DIME COMMUNITY BANCSHARES INC,n/a,Finance,Savings Institutions, SAVINGS INSTITUTION_ FEDERALLY CHARTERED, SAVINGS INSTITUTION_ FEDERALLY CHARTERED,DE
DCPH,1654151,Deciphera Pharmaceuticals  Inc.,2017,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
DDD,910638,3D SYSTEMS CORP,n/a,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
DDS,28917,DILLARD'S  INC.,n/a,Consumer Services,Department/Specialty Retail Stores, RETAIL,DEPARTMENT STORES,AR
DE,315189,DEERE & CO,n/a,Capital Goods,Industrial Machinery/Components, FARM MACHINERY & EQUIPMENT, FARM MACHINERY & EQUIPMENT,DE
DEA,1622194,Easterly Government Properties  Inc.,2015,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
DECK,910521,DECKERS OUTDOOR CORP,1993,Consumer Non-Durables,Shoe Manufacturing, RUBBER & PLASTICS FOOTWEAR, RUBBER & PLASTICS FOOTWEAR,DE
DEI,1364250,Douglas Emmett Inc,2006,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
DELL,1571996,Dell Technologies Inc,2018,Technology,Computer Manufacturing, ELECTRONIC COMPUTERS, ELECTRONIC COMPUTERS,DE
DENN,852772,DENNY'S Corp,n/a,Consumer Services,Restaurants, RETAIL,EATING PLACES,DE
DERM,1557883,Dermira  Inc.,2014,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
DEST,896985,Destination Maternity Corp,n/a,Consumer Services,Clothing/Shoe/Accessory Stores, RETAIL,WOMEN'S CLOTHING STORES,DE
DF,931336,DEAN FOODS CO,n/a,Consumer Non-Durables,Packaged Foods, DAIRY PRODUCTS, DAIRY PRODUCTS,DE
DFFN,1053691,Diffusion Pharmaceuticals Inc.,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
DFIN,1669811,Donnelley Financial Solutions  Inc.,2016,Consumer Services,Other Consumer Services, SERVICES,MISCELLANEOUS BUSINESS SERVICES,DE
DFRG,1415301,Del Frisco's Restaurant Group  Inc.,2012,Consumer Services,Restaurants, RETAIL,EATING PLACES,DE
DFS,1393612,Discover Financial Services,n/a,Finance,Finance: Consumer Services, PERSONAL CREDIT INSTITUTIONS, PERSONAL CREDIT INSTITUTIONS,DE
DG,29534,DOLLAR GENERAL CORP,2009,Consumer Services,Department/Specialty Retail Stores, RETAIL,VARIETY STORES,TN
DGICA,800457,DONEGAL GROUP INC,n/a,Finance,Property-Casualty Insurers, FIRE_ MARINE & CASUALTY INSURANCE, FIRE_ MARINE & CASUALTY INSURANCE,DE
DGII,854775,DIGI INTERNATIONAL INC,1989,Technology,Computer Communications Equipment, COMPUTER COMMUNICATIONS EQUIPMENT, COMPUTER COMMUNICATIONS EQUIPMENT,DE
DGLY,1342958,DIGITAL ALLY INC,n/a,Technology,Radio And Television Broadcasting And Communications Equipment, RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT, RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,NV
DGSE,701719,DGSE COMPANIES INC,n/a,Consumer Services,Consumer Specialties, RETAIL,JEWELRY STORES,NV
DGX,1022079,QUEST DIAGNOSTICS INC,n/a,Health Care,Medical Specialities, SERVICES,MEDICAL LABORATORIES,DE
DHI,882184,HORTON D R INC /DE/,n/a,Capital Goods,Homebuilding, OPERATIVE BUILDERS, OPERATIVE BUILDERS,DE
DHIL,909108,DIAMOND HILL INVESTMENT GROUP INC,n/a,Finance,Investment Managers, INVESTMENT ADVICE, INVESTMENT ADVICE,OH
DHR,313616,DANAHER CORP /DE/,n/a,Capital Goods,Industrial Machinery/Components, INDUSTRIAL INSTRUMENTS FOR MEASUREMENT_ DISPLAY_ AND CONTROL, INDUSTRIAL INSTRUMENTS FOR MEASUREMENT_ DISPLAY_ AND CONTROL,DE
DHX,1393883,DHI GROUP  INC.,2007,Miscellaneous,Business Services, SERVICES,BUSINESS SERVICES_ NEC,DE
DIN,49754,Dine Brands Global  Inc.,n/a,Consumer Services,Restaurants, RETAIL,EATING PLACES,DE
DIOD,29002,DIODES INC /DEL/,n/a,Technology,Semiconductors, SEMICONDUCTORS & RELATED DEVICES, SEMICONDUCTORS & RELATED DEVICES,DE
